rank,junction_clean,volume,impact,active_days,active_cells,high_sev_events,junction_events,top_violation,top_vehicle,peak_dow,peak_hour,intensity,c_volume,c_impact,c_recur,c_intensity,priority_score,impact_share,cum_impact_share,volume_share,cum_volume_share
22,"BTP182 - 19th Main Junction, Rajajinagar",1162,3517.5,120,7,11,1162,WRONG PARKING,CAR,Sunday,8,166.0,0.0982354937224296,0.09673013245033113,0.7905405405405406,0.10610683742318106,23.735032819593005,0.009158832512488429,0.6661107574295901,0.009436797011410241,0.6744629877776424
23,BTP048 - Shanthala Junction,1253,4419.0,113,9,225,1253,NO PARKING,PASSENGER AUTO,Saturday,2,139.22222222222223,0.10595520868680014,0.12160596026490066,0.7432432432432432,0.08884495824201011,23.632404108370544,0.011506149501829814,0.67761690693142,0.010175823283388152,0.6846388110610305
24,BTP104 - Medical College Circle,1174,3640.5,113,5,40,1174,WRONG PARKING,SCOOTER,Wednesday,11,234.8,0.0992534781133356,0.10012417218543046,0.7432432432432432,0.15045769048949245,23.603680592097383,0.009479098724012544,0.6870960056554325,0.009534251025297438,0.694173062086328
25,"BTP022 - Marenahalli Junction, Vijayanagar",930,2871.0,120,7,30,930,WRONG PARKING,SCOOTER,Thursday,10,132.85714285714286,0.07855446216491348,0.07889072847682119,0.7905405405405406,0.08474180853741643,22.199747300508207,0.007475482059233626,0.6945714877146661,0.007552686076257766,0.7017257481625858
26,BTP061 - Bhashyam Circle,847,2551.5,117,4,4,847,NO PARKING,SCOOTER,Friday,9,211.75,0.07151340346114693,0.07007450331125828,0.7702702702702703,0.13559886544329364,22.03739810678326,0.006643571046372204,0.7012150587610384,0.0068786291468713205,0.7086043773094571
27,BTP010 - Rajajinagar Entrance,797,2479.5,123,9,31,797,NO PARKING,SCOOTER,Saturday,11,88.55555555555556,0.0672718018323719,0.06808774834437085,0.8108108108108109,0.05618347730170326,21.460193622765903,0.006456098142065405,0.7076711569031038,0.006472570755674666,0.7150769480651318
28,BTP063 - Siddalingaiah Circle,922,2907.0,116,9,47,922,NO PARKING,CAR,Thursday,9,102.44444444444444,0.07787580590430947,0.0798841059602649,0.7635135135135135,0.06513673413841019,21.37953916808498,0.007569218511387026,0.7152403754144908,0.0074877167336663015,0.7225646647987981
29,BTP008 - Navarang Theatre,1011,3040.5,110,7,4,1011,WRONG PARKING,SCOOTER,Sunday,8,144.42857142857142,0.08542585680352902,0.08356788079470198,0.722972972972973,0.09220115051908424,21.330128249166165,0.007916824521455883,0.7231571999359467,0.008210500669996346,0.7307751654687944
30,BTP192 - Urvashi Theater,578,1740.0,130,6,2,578,NO PARKING,CAR,Saturday,3,96.33333333333333,0.048693586698337295,0.04768211920529802,0.8581081081081081,0.06119730113025914,21.209803452251602,0.004530595187414319,0.727687795123361,0.004694035002233321,0.7354692004710277
31,BTP205 - Modi Hospital Junction,856,2740.5,112,5,58,856,WRONG PARKING,CAR,Thursday,10,171.2,0.07227689175432643,0.07528973509933774,0.7364864864864865,0.10945893678284412,21.175061262579007,0.007135687420177552,0.7348234825435386,0.0069517196572867175,0.7424209201283144
32,BTP135 - UCO Bank Junction,976,3168.0,103,6,83,976,NO PARKING,SCOOTER,Sunday,12,162.66666666666666,0.08245673566338649,0.0870860927152318,0.6756756756756757,0.10395805578237138,20.59459966518379,0.008248807789499175,0.7430722903330378,0.007926259796158687,0.7503471799244731
33,BTP074 - Leprosy Hospital Junction,824,2620.5,116,11,52,824,WRONG PARKING,SCOOTER,Saturday,11,74.9090909090909,0.06956226671191042,0.07197847682119206,0.7635135135135135,0.04738649549341886,20.587182392770586,0.00682323257966622,0.749895522912704,0.006691842286920859,0.757039022211394
34,"BTP026 - 1st Block Junction, Rajajinagar",968,2907.0,100,5,1,968,WRONG PARKING,CAR,Thursday,7,193.6,0.08177807940278249,0.0798841059602649,0.6554054054054054,0.12389874940908505,20.21587543993713,0.007569218511387026,0.757464741424091,0.007861290453567224,0.7649003126649612
35,BTP054 - Shivananda Circle,655,2044.5,121,12,27,655,NO PARKING,CAR,Wednesday,7,54.583333333333336,0.05522565320665083,0.05608443708609272,0.7972972972972973,0.03428381107911814,20.079928006345487,0.0053234493452118245,0.7627881907693028,0.005319364924676168,0.7702196775896374
36,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",972,3033.0,102,9,42,972,WRONG PARKING,CAR,Thursday,3,108.0,0.0821174075330845,0.08336092715231788,0.668918918918919,0.06871803687309296,19.790303607798435,0.007897296093923926,0.7706854868632268,0.007893775124862955,0.7781134527145004
37,BTP096 - Gali Anjaneya Temple,760,2760.0,103,9,165,760,NO PARKING,SCOOTER,Sunday,1,84.44444444444444,0.06413301662707839,0.07582781456953643,0.6756756756756757,0.053533313278038015,18.89447722143021,0.007186461331760644,0.7778719481949874,0.006172087546189142,0.7842855402606895
38,BTP071 - Prasanna Junction,568,1719.0,113,7,6,568,NO PARKING,SCOOTER,Monday,11,81.14285714285714,0.04784526637258229,0.04710264900662252,0.7432432432432432,0.05140499622428368,18.71989051463838,0.0044759155903248355,0.7823478637853122,0.004612823323993991,0.7888983635846836
39,"BTP148 - 17th Main, Doopanahalli Bus Stop",608,2167.5,104,9,117,608,NO PARKING,CAR,Sunday,8,67.55555555555556,0.051238547675602306,0.059478476821192054,0.6824324324324325,0.042646152964602405,17.907244062127475,0.005643715556735941,0.7879915793420481,0.0049376700369513134,0.7938360336216349
40,BTP069 - MC Circle,759,2397.0,89,6,42,759,WRONG PARKING,SCOOTER,Wednesday,10,126.5,0.06404818459450289,0.0658112582781457,0.581081081081081,0.08064377497958657,17.056117823885604,0.006241285439213863,0.794232864781262,0.006163966378365209,0.8000000000000002
41,BTP028 - Vijayanagar Bus Stand Junction,601,1846.5,97,6,15,601,WRONG PARKING,CAR,Thursday,10,100.16666666666667,0.05064472344757381,0.05062086092715232,0.6351351351351351,0.06366840001719025,16.948800538838103,0.004807898858368126,0.7990407636396301,0.004880821862183782,0.8048808218621839
42,"BTP095 - Satellite Bus Stand, Mysore Road",501,1623.0,97,4,42,501,WRONG PARKING,SCOOTER,Saturday,1,125.25,0.042161520190023755,0.04445364238410596,0.6351351351351351,0.07983798186428295,16.720995519811368,0.00422595171791577,0.8032667153575458,0.004068705079790474,0.8089495269419744
43,BTP208 - Havanur Circle,699,2257.5,89,6,54,699,WRONG PARKING,CAR,Wednesday,10,116.5,0.05895826263997286,0.061961920529801325,0.581081081081081,0.07419743005715759,16.671998170221215,0.00587805668711944,0.8091447720446653,0.005676696308929224,0.8146262232509036
44,BTP118 - Basappa Circle,540,1680.0,95,5,20,540,WRONG PARKING,SCOOTER,Wednesday,4,108.0,0.045469969460468274,0.04602649006622517,0.6216216216216216,0.06871803687309296,16.438229221660755,0.004374367767158653,0.8135191398118239,0.0043854306249238644,0.8190116538758275
45,"BTP123 - 10th Cross, Wilson Garden",480,1443.0,102,11,1,480,NO PARKING,SCOOTER,Sunday,8,43.63636363636363,0.040380047505938245,0.039486754966887416,0.668918918918919,0.027227016826913683,16.38022147980129,0.0037572694571487717,0.8172764092689727,0.003898160555487879,0.8229098144313154
46,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",375,1221.0,104,9,33,375,NO PARKING,CAR,Thursday,10,41.666666666666664,0.03147268408551069,0.03336092715231788,0.6824324324324325,0.025957282220980704,16.149820854859804,0.0031792280022028066,0.8204556372711755,0.0030454379339749055,0.8259552523652903
47,"BTP210 - 50th cross, 12th Main , Rajajinagar",389,1168.5,101,5,1,389,WRONG PARKING,CAR,Sunday,4,77.8,0.032660332541567694,0.03191225165562914,0.6621621621621622,0.04925007520735742,16.078733155547656,0.003042529009479099,0.8234981662806546,0.0031591342835099686,0.8291143866488003
48,BTP137 - Madiwala Traffic PS Junction,470,1515.0,98,8,35,470,NO PARKING,CAR,Tuesday,1,58.75,0.03953172718018324,0.041473509933774834,0.6418918918918919,0.036969788130130216,16.02990932287741,0.0039447423614555705,0.8274429086421102,0.0038169488772485482,0.8329313355260489
